train_episode,steps,train_reward,test_reward
175,106000,42.02873346738593,-28.889317385477767
176,107000,45.77486864117424,54.950858147468104
177,108000,88.29153442090619,79.09024976095412
178,108728,-282.7162577984583,60.06620339458507
179,110000,49.74150433488293,110.09184821426062
180,111000,-15.616424882414835,11.648716251957776
181,112000,-16.833726298305002,196.03848925511423
182,112701,87.5911760884382,-81.3252475212371
183,113562,-120.985275441742,
184,113840,-103.5540553643253,-94.29625128840081
185,114251,-114.94539145355986,
186,114445,-156.0936753772803,-115.37266734397697
187,115369,-106.46318610192493,
188,115630,-118.64890639787735,-7.04702041582275
189,116435,-164.30224584634868,
190,116614,-136.1455243763006,
191,116774,-117.74077935287448,147.98583500319305
192,117321,-96.76770826261605,
193,117898,-226.72680487231193,-72.1030625302454
194,119000,-49.60143317109181,-49.1022378549053
195,119253,-148.28344985220497,-144.5561515594105
196,120328,-128.10462115443408,
197,120708,-112.08741021541752,-213.0797309186593
198,122000,-39.62299243190089,-30.543533990638046
199,123000,-59.295338227497396,37.06973494504748
200,124000,-105.00569691327257,-53.39182764484688
201,125000,-54.24681888135859,29.219452345085088
202,126000,-40.3022380646016,11.585084976564685
203,127000,-26.743724654436523,-30.126824233560242
204,128000,25.273777927330244,208.65575280541216
205,128400,227.9103367874611,
206,128665,10.648392409683296,163.59811311559073
207,129423,225.1229453638311,101.61678862012263
208,130262,35.9523318760119,
209,130631,229.03643328257502,166.6514461263809
210,131333,200.74657746651445,
211,131647,217.37761421345246,
212,131929,248.46810348005636,221.48082010486036
213,132199,-6.286630295770337,
214,132817,242.5380843737299,234.76746559402528
215,133262,198.6229604030691,
216,133524,176.9026194964846,
217,133758,39.79838412135513,207.9796813276638
218,134176,28.45026605645964,
219,134398,42.90084209805494,
220,134659,-35.378635051474305,
221,134994,203.0788108083084,153.44258869229148
222,135144,41.276394930896004,
223,135303,20.297810047681068,
224,135586,16.581184118893702,216.59459932273492
225,136182,35.93529621300266,150.5640481661898
226,137454,241.7625427725634,
227,137653,21.348386328361798,72.82912595272118
228,138270,230.07312898435669,
229,138406,5.3671451298119734,
230,138574,-14.461275505137891,
231,138694,51.69959550329173,142.63682519996394
232,139145,7.873905709684223,
233,139498,226.12793548404312,
234,139826,207.48627825753744,16.928906059756578
235,140176,-7.729405646254861,
236,140662,161.68447733378798,195.6118475885064
237,142000,69.04780210614342,-45.87060574383121
238,143000,142.5548527447444,118.13053019110059
239,144000,-55.42966602994355,-99.27557392897606
240,145000,-46.63146509237591,-177.30536465657113
241,146000,-113.77977657999384,-136.80006397295693
242,147000,-165.15479560087658,-182.9427439105407
243,148000,-109.13983520535606,-164.70557963732287
244,149000,-35.59042882579051,-112.54759504576964
245,150000,-116.0605671909205,-111.39108719065291
246,151000,-80.51204579244111,-108.56212908057023
247,152000,-90.58442761178313,-100.8971511272438
248,153000,-120.40949331619402,-113.84607616403373
249,154000,-75.02934022095124,-103.119620333301
250,155000,-72.16822694409076,78.65113204973117
251,156000,-110.91170894863286,-45.668010055140975
252,157000,-82.55499175679455,104.90936566018081
253,157709,-166.1512820522859,-120.12807457422238
254,159000,-78.4592802403063,-110.0772040033923
255,159876,-162.79339009551492,-49.6827974682949
256,161000,-94.41007294159449,-84.13547599036315
257,162000,-84.87276486747763,-87.44544151840427
258,163000,-39.02107139399216,-96.21723010907445
259,164000,-108.72788870962552,-70.57670633776667
260,165000,-79.88441811630106,-67.61341001479727
261,166000,-88.3708968184974,-100.99826432175604
262,167000,-86.38707941610858,-20.497861323208436
263,168000,-60.27132301811631,-54.209419842782445
264,169000,-86.02028968371953,-39.23506784709049
265,170000,-101.8760658001994,-83.92930959719199
266,171000,-96.38323598149019,-69.33929587409104
267,172000,-67.98878350473744,-105.0327285923116
268,173000,-130.89931761544483,-122.22847732395623
269,174000,-114.70862670980625,-172.08046308275345
270,175000,-100.51316278629152,-75.41806750371833
271,176000,-66.8949140741758,-55.97366963358199
272,177000,-74.82096505284755,-40.452245826215815
273,178000,-32.20045932248637,-38.85477683735662
274,178843,150.53807442500454,129.45062297137815
275,180000,3.590115429424039,-65.98092510216138
276,181000,-56.17152427012109,-40.956131642215375
277,181897,77.84182522075113,-100.92272522864492
278,183000,-49.634204054477046,-66.56246237178767
279,184000,-46.16391274338934,-30.464891469380493
280,185000,-67.87419506522707,-42.93366174245156
281,186000,-22.049208747966556,-9.004035112895263
282,187000,25.144288207470925,3.5712158754832566
283,188000,62.11791829167528,28.591335995977413
284,189000,-12.588595848864431,-23.677198328651784
285,190000,-28.211935717278145,-6.586402376893203
286,191000,-6.948800519684728,-22.513714215353804
287,192000,-48.42160727822777,25.124742566894007
288,193000,-1.8622373074571743,104.34032554123206
289,194000,-40.395695831390306,93.49348989423376
290,194800,203.82366884391615,34.526653365915465
291,196000,-31.508399616905244,-0.4816753747254676
292,197000,-6.796742394223662,-35.793105305598225
293,198000,-21.924874843582792,-30.986453693132255
294,199000,-12.621555849646878,16.099292281659256
295,200000,-26.08405971610986,-18.200454250316472
296,201000,-54.17765182186971,-11.885811352577223
297,202000,31.46478905262618,5.7527354472649455
298,203000,-52.6682492210305,-42.67702477078336
299,204000,-30.411691678237776,-28.568870738445813
300,205000,-1.0438054904705965,12.927762672011138
301,206000,16.648335722729627,-30.31331266942618
302,207000,-30.507844445980712,-7.332400550546073
303,208000,3.524963700379513,-2.422955199501976
304,209000,-48.22798925722206,153.2089048945377
305,209933,162.58660133376654,-43.701370366522
306,211000,-6.249867209077436,-39.44867355699433
307,211513,221.6119742765531,206.11503203426815
308,212504,177.56550035512112,
309,212778,243.4499772349632,223.83177823973287
310,213552,208.9397774582306,211.30524052630489
311,214239,-10.144961553289122,
312,214842,188.22758981977387,221.67622127598094
313,215444,236.9896580715724,
314,215941,221.99663098328347,199.89857560626018
315,217000,-88.12971938198208,-85.3402220634391
316,218000,-146.53490814200467,-3.53659028847804
317,219000,27.276395381724,17.682867669624315
318,220000,-25.10200573132343,-40.5175144574333
319,221000,-33.384259647568044,-31.3076294850758
320,222000,-1.0120762981992328,11.719233619295867
321,223000,-12.429279246009122,-54.28735371245712
322,224000,-96.84023784807532,-8.444839865366028
323,225000,-7.886211339298453,-5.689748651893908
324,226000,-45.63897021778339,2.5981089675040097
325,227000,-13.114133199593704,-32.8490011850709
326,228000,23.995284876246085,-159.9535816348823
327,229000,-14.178824479866737,-102.014508529308
328,229523,-68.54268210375433,-92.10211888455751
329,231000,-50.25519276242597,-34.872376652775614
330,231434,159.28723872409296,-11.856692525976399
331,233000,37.32576632056822,10.004760451669094
332,234000,-11.110063588810991,-20.44409875373332
333,235000,-2.2533936151301224,21.42372099258099
334,236000,-25.020107574594974,-27.51928498995817
335,237000,-23.50342584317827,2.3333957021901526
336,238000,-18.795978619587643,-56.62401908502836
337,239000,5.570521077304475,-41.982552974435
338,240000,-17.920590283057,-36.73479392009259
339,241000,-83.87917955070675,-15.570964131270948
340,242000,-36.390741412532925,-49.0561304443707
341,243000,-49.68923643232332,-43.886371205759104
342,244000,-124.17047720618923,-80.08528592394975
343,245000,-35.75380889909609,-27.419919357450638
344,246000,-6.988939971936999,-71.90636138695218
345,247000,-5.186423070976757,-34.43708870912966
346,248000,28.49844623185954,211.3971638650653
347,248919,151.90984798981293,80.92693300928545
348,250000,54.59033102134711,211.1949061170579
349,251000,10.583901460783023,-58.36298990640542
350,252000,-25.201409306733474,-14.66034255771858
351,253000,-28.210229895791134,-49.504688537555
352,254000,47.19552609440382,75.93488495335696
353,254860,208.7698404039535,-47.058387917760875
354,255515,204.5123101400067,245.0739640720789
355,256593,189.75865731335224,208.01259707997153
356,257584,202.6246032163197,31.757771509689256
357,258381,222.61418435908325,
358,258701,254.61916563302788,-51.9142919396565
359,260000,-73.79795668343944,-34.27287639613475
360,261000,-81.82891172866731,-39.02185473184056
361,262000,-100.25557810744208,-82.35335142028394
362,262769,-143.0829215219388,-82.4928618697733
363,263850,-102.01803557022517,-84.16260770603864
364,264204,-37.495885414540496,199.0608198335253
365,265246,181.7144767297279,
366,265832,205.45607172698655,119.62315114971987
367,267000,-23.581093552145898,243.9710162781916
368,267428,220.41899601175692,
369,267718,241.78462919291016,
370,267844,-33.528136729054864,124.82928584835531
371,268358,198.25066670018225,
372,268555,215.29804395241507,
373,268899,224.26204358351382,-84.29802709275066
374,269346,-38.298516568634504,
375,269580,191.5402995624263,
376,269768,240.0712734766038,225.42311032994405
377,270480,202.69923545416316,305.2289695015626
378,271802,-107.16561890845473,170.26950009364418
379,272353,225.00311835708607,132.00429034740915
380,274000,104.31684044949085,207.45036382061687
381,275000,-49.95690464421809,-63.63724926808834
382,275217,238.59637525112177,
383,275474,243.89824389625045,
384,275829,242.7856648176595,128.27201695745035
385,276770,210.32795994114423,151.42468134907466
386,277137,58.525574868548915,
387,277473,281.93218848270794,
388,277914,194.57850659994722,63.81150449010349
389,278228,17.007582848707855,
390,278754,253.58442085854134,
391,278832,-45.45009999646091,241.36041384432735
392,279098,-28.969903627024536,
393,279180,18.704779613852807,
394,279420,226.0328828248812,
395,279539,20.82198377539008,
396,279897,234.02446437490826,125.03770582784465
397,280363,222.38283629850824,
398,280538,236.1730603991595,
399,280706,228.63817977807042,
400,280970,284.9578823840469,194.7820696244097
401,281320,224.41222414455956,
402,281682,192.07209147692467,
403,281856,252.6862498656132,125.35063192523691
404,282107,47.50107576019471,
405,282204,43.550470095774756,
406,282520,235.38636141141478,
407,282653,34.68884738060035,
408,282770,16.74472984030359,
409,282986,271.05155899588823,291.2089669833165
410,283129,56.38254216595152,
411,283262,17.831574719143347,
412,283432,12.396929161925755,209.3924538425992
413,284277,236.949237066908,
414,284450,284.5373086378805,
415,284583,30.97761885751561,
416,284839,237.25743041748558,8.251297393791628
417,285380,224.06509522024913,
418,285989,194.4797032040359,147.01479959799298
419,286712,280.70715309688615,
420,286832,12.420611741329552,182.8295686719154
421,288000,-13.674801201936663,249.40398229846056
422,288308,264.40694539500277,
423,288421,44.71174418568256,
424,288742,190.02483932932375,
425,288939,210.26796036308042,248.55880009084737
426,289384,196.7359614556226,
427,289648,231.78223046748113,
428,289850,220.5037092792095,-29.270882010384273
429,290170,239.9775983121433,
430,290714,280.8262167107356,120.52344018519098
431,291592,243.37582447744308,
432,291979,161.07061152851043,41.16734855780322
433,292061,-42.2799558910026,
434,292219,256.4948096667184,
435,292809,152.82022859296083,233.86693720960994
436,293192,240.74154199491636,
437,293478,210.20514180428967,232.26936843364567
438,294859,170.69775780840286,-78.32482396070621
439,295765,95.02813820373811,218.7095738099854
440,296430,174.2201133059648,
441,296861,184.1187221968145,76.44734969561374
442,297783,143.61300922716333,59.318922264533796
443,298368,212.15678029606116,
444,298725,174.9514964714354,
445,298956,230.42552673745007,150.42438161032845
446,299383,197.87917046398042,
447,299644,256.88145368558116,
448,299989,265.61139409601617,251.772699072371
